คีย์,ชื่อแอททริบิวต์,ชนิดตัวแปร,รายละเอียด
PK,id,uuid,id ของ ticket
,created_at,timestamptz,วันที่สร้างข้อมูล
,updated_at,timestamptz,วันที่อัปเดตข้อมูลล่าสุด
,deleted_at,timestamptz,วันที่ลบข้อมูล (soft delete)
,name,varchar,ชื่อ ticket
,status,varchar,สถานะของ ticket
,start_time,timestamptz,เวลาเริ่มใช้งาน
,end_time,timestamptz,เวลาสิ้นสุดการใช้งาน
,cancel_time,timestamptz,เวลาที่ยกเลิก
,duration,integer,ระยะเวลาใช้งาน
,price,real,ราคารวมของ ticket
,glidelet_urn,varchar,รหัสอ้างอิงจากระบบภายนอก
FK,owner_id,uuid,FK -> users.id
FK,namespace_id,uuid,FK -> namespaces.id
FK,node_id,uuid,FK -> resource_nodes.id
FK,resource_pool_id,uuid,FK -> resource_pools.id
FK,quota_id,uuid,FK -> namespace_quotas.id
,redeem_timeout,integer,เวลาหมดอายุการ redeem (วินาที)
